author_sort                                                                                                , authors                                                                                              , timestamp                  , formats          , isbn           , pubdate                       , publisher                        , series                               , series_index, tags                                                          , title                                                                                                                                                                                       , title_sort
"Fleming, Ian"                                                                                             , "Ian Fleming"                                                                                        , "2025-01-11T14:20:31+01:00", "epub, mobi"     , ""             , "1954-01-15T00:00:00+01:00"   , "Plon"                           , "James Bond"                         , "2.0"       , "epub, novel, james bond"                                     , "Vivre et laisser mourir"                                                                                                                                                                   , "Vivre et laisser mourir"
"Fleming, Ian"                                                                                             , "Ian Fleming"                                                                                        , "2025-01-11T14:20:31+01:00", "epub, mobi"     , ""             , "1964-04-25T00:00:00+01:00"   , "Robert Laffont"                 , "James Bond"                         , "12.0"      , "epub, novel, james bond"                                     , "On ne vit que deux fois"                                                                                                                                                                   , "On ne vit que deux fois"
"Fleming, Ian"                                                                                             , "Ian Fleming"                                                                                        , "2025-01-11T14:20:31+01:00", "epub, mobi"     , ""             , "1962-01-24T00:00:00+01:00"   , "Plon"                           , "James Bond"                         , "10.0"      , "epub, novel, james bond"                                     , "Motel 007 (l'espion qui m'aimait)"                                                                                                                                                         , "Motel 007 (l'espion qui m'aimait)"
"Fleming, Ian"                                                                                             , "Ian Fleming"                                                                                        , "2025-01-11T14:20:31+01:00", "epub, mobi"     , ""             , "1963-06-02T00:00:00+01:00"   , "Plon"                           , "James Bond"                         , "11.0"      , "epub, novel, james bond"                                     , "Au service secret de sa majesté"                                                                                                                                                           , "Au service secret de sa majesté"
"Fleming, Ian"                                                                                             , "Ian Fleming"                                                                                        , "2025-01-11T14:20:31+01:00", "epub, mobi"     , ""             , "1958-12-05T00:00:00+01:00"   , "Gallimard"                      , "James Bond"                         , "3.0"       , "epub, novel, james bond"                                     , "Entourloupe dans l'azimut (Moonraker)"                                                                                                                                                     , "Entourloupe dans l'azimut (Moonraker)"
"Fleming, Ian"                                                                                             , "Ian Fleming"                                                                                        , "2025-01-11T14:20:31+01:00", "epub, mobi"     , ""             , "1961-01-17T00:00:00+01:00"   , "Plon"                           , "James Bond"                         , "9.0"       , "epub, novel, james bond"                                     , "Opération tonnerre"                                                                                                                                                                        , "Opération tonnerre"
"Fleming, Ian"                                                                                             , "Ian Fleming"                                                                                        , "2025-01-11T14:20:31+01:00", "epub, mobi"     , ""             , "1960-06-02T00:00:00+01:00"   , "Robert Laffont"                 , "James Bond"                         , "8.0"       , "epub, novel, james bond"                                     , "Bons baisers de paris (rien que pour vos yeux)"                                                                                                                                            , "Bons baisers de paris (rien que pour vos yeux)"
"Fleming, Ian"                                                                                             , "Ian Fleming"                                                                                        , "2025-01-11T14:20:31+01:00", "epub, mobi"     , ""             , "1959-06-02T00:00:00+01:00"   , "Robert Laffont"                 , "James Bond"                         , "7.0"       , "epub, novel, james bond"                                     , "Goldfinger"                                                                                                                                                                                , "Goldfinger"
"Fleming, Ian"                                                                                             , "Ian Fleming"                                                                                        , "2025-01-11T14:20:31+01:00", "epub, mobi"     , ""             , "1958-06-02T00:00:00+01:00"   , "Plon"                           , "James Bond"                         , "6.0"       , "epub, novel, james bond"                                     , "Contre Dr. No"                                                                                                                                                                             , "Contre Dr. No"
"Fleming, Ian"                                                                                             , "Ian Fleming"                                                                                        , "2025-01-11T14:20:31+01:00", "epub, mobi"     , ""             , "1957-01-09T00:00:00+01:00"   , "Plon"                           , "James Bond"                         , "5.0"       , "epub, novel, james bond"                                     , "Bons baisers de Russie"                                                                                                                                                                    , "Bons baisers de Russie"
"Fleming, Ian"                                                                                             , "Ian Fleming"                                                                                        , "2025-01-11T14:20:31+01:00", "epub, mobi"     , ""             , "1956-01-18T00:00:00+01:00"   , "Bragelonne"                     , "James Bond"                         , "4.0"       , "epub, novel, james bond"                                     , "Les diamants sont éternels"                                                                                                                                                                , "diamants sont éternels, Les"
"Weir, Andy"                                                                                               , "Andy Weir"                                                                                          , "2025-01-11T14:20:31+01:00", "epub, mobi"     , ""             , "2014-02-11T06:00:00+01:00"   , "Crown Publishers"               , ""                                   , "1.0"       , "epub, science fiction"                                       , "The Martian: A Novel"                                                                                                                                                                      , "Martian: A Novel, The"
"Forster, E. M."                                                                                           , "E. M. Forster"                                                                                      , "2025-01-11T14:20:31+01:00", "epub, mobi"     , ""             , "1909-11-04T23:09:21+00:09:21", ""                               , ""                                   , "1.0"       , "epub, science fiction"                                       , "The Machine Stops"                                                                                                                                                                         , "Machine Stops, The"
"Schember, John"                                                                                           , "John Schember"                                                                                      , "2016-01-10T10:44:16+01:00", "epub"           , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , ""                                   , "1.0"       , ""                                                            , "Quick Start Guide"                                                                                                                                                                         , "Quick Start Guide"
"wallace, david foster"                                                                                    , "david foster wallace"                                                                               , "2025-01-11T14:20:31+01:00", "epub, mobi"     , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , ""                                   , "1.0"       , "epub"                                                        , "infinite jest"                                                                                                                                                                             , "infinite jest"
"theophile, gilles"                                                                                        , "gilles theophile"                                                                                   , "2025-01-11T14:20:31+01:00", "epub, pdf"      , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , ""                                   , "1.0"       , "epub, pdf"                                                   , "lightroom 6/cc par la pratique"                                                                                                                                                            , "lightroom 6/cc par la pratique"
"sedgewick, robert & wayne, kevin"                                                                         , "robert sedgewick & kevin wayne"                                                                     , "2025-01-11T14:20:31+01:00", "epub, pdf"      , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , ""                                   , "1.0"       , "epub, pdf"                                                   , "algorithms: part 1"                                                                                                                                                                        , "algorithms: part 1"
"Brown, Simon"                                                                                             , "Simon Brown"                                                                                        , "2025-01-11T14:20:31+01:00", "epub, pdf"      , ""             , "2014-05-12T00:00:00+02:00"   , "Lean Publishing"                , ""                                   , "1.0"       , "epub, pdf, programming"                                      , "Software Architecture for Developers"                                                                                                                                                      , "Software Architecture for Developers"
"sedgewick, robert & wayne, kevin"                                                                         , "robert sedgewick & kevin wayne"                                                                     , "2025-01-11T14:20:31+01:00", "epub, pdf"      , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , ""                                   , "1.0"       , "epub, pdf"                                                   , "algorithms: part 2"                                                                                                                                                                        , "algorithms: part 2"
"Nosaka, Akiyuki"                                                                                          , "Akiyuki Nosaka"                                                                                     , "2025-01-11T14:20:31+01:00", "epub, mobi"     , ""             , "1967-10-06T00:00:00+01:00"   , "Picquier Poche"                 , ""                                   , "1.0"       , "epub, novel"                                                 , "La tombe des lucioles"                                                                                                                                                                     , "tombe des lucioles, La"
"Legardinier, Gilles"                                                                                      , "Gilles Legardinier"                                                                                 , "2025-01-11T14:20:31+01:00", "epub, mobi"     , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , ""                                   , "1.0"       , "epub"                                                        , "ça peut pas rater !"                                                                                                                                                                       , "ça peut pas rater !"
"Legardinier, Gilles"                                                                                      , "Gilles Legardinier"                                                                                 , "2025-01-11T14:20:31+01:00", "epub, mobi"     , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , ""                                   , "1.0"       , ""                                                            , "quelqu’un pour qui trembler"                                                                                                                                                               , "quelqu’un pour qui trembler"
"COMEX"                                                                                                    , "COMEX"                                                                                              , "2025-01-11T14:20:31+01:00", "pdf"            , ""             , "2015-11-02T12:29:52+01:00"   , "COMEX"                          , "COMEX Magazine"                     , "14.0"      , "comex, pdf, magazine"                                        , "COMEX Magazine 14"                                                                                                                                                                         , "COMEX Magazine 14"
"COMEX"                                                                                                    , "COMEX"                                                                                              , "2025-01-11T14:20:31+01:00", "pdf"            , ""             , "2014-03-24T17:00:19+01:00"   , "COMEX"                          , "COMEX Magazine"                     , "13.0"      , "comex, pdf, magazine"                                        , "COMEX Magazine 13"                                                                                                                                                                         , "COMEX Magazine 13"
"Catmull, Ed"                                                                                              , "Ed Catmull"                                                                                         , "2025-01-11T14:20:31+01:00", "epub, mobi"     , ""             , "2014-04-01T00:00:00+02:00"   , "Random House"                   , ""                                   , "1.0"       , "epub, pixar, creativity"                                     , "Creativity, Inc."                                                                                                                                                                          , "Creativity, Inc."
"Martin-Lugand, Agnès"                                                                                     , "Agnès Martin-Lugand"                                                                                , "2025-01-11T14:20:31+01:00", "epub, mobi"     , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , ""                                   , "1.0"       , "epub"                                                        , "désolée, je suis attendue"                                                                                                                                                                 , "désolée, je suis attendue"
"lovecraft, h. p."                                                                                         , "h. p. lovecraft"                                                                                    , "2025-01-11T14:20:32+01:00", "epub, mobi"     , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , ""                                   , "1.0"       , "epub"                                                        , "le nécronomicon"                                                                                                                                                                           , "nécronomicon, le"
"groult, benoîte"                                                                                          , "benoîte groult"                                                                                     , "2025-01-11T14:20:32+01:00", "epub, mobi"     , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , ""                                   , "1.0"       , "epub"                                                        , "ainsi soit-elle"                                                                                                                                                                           , "ainsi soit-elle"
"Legardinier, Gilles"                                                                                      , "Gilles Legardinier"                                                                                 , "2025-01-11T14:20:32+01:00", "epub, mobi"     , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , ""                                   , "1.0"       , "epub"                                                        , "demain j’arrête !"                                                                                                                                                                         , "demain j’arrête !"
"bonér, jonas"                                                                                             , "jonas bonér"                                                                                        , "2025-01-11T14:20:32+01:00", "epub, mobi, pdf", ""             , "2016-03-23T01:00:00+01:00"   , "O'Reilly Media"                 , "oreilly"                            , "0.0"       , "epub, pdf, oreilly, tech, microservice, architecture"        , "reactive microservices architecture"                                                                                                                                                       , "reactive microservices architecture"
"Murakami, Haruki"                                                                                         , "Haruki Murakami"                                                                                    , "2025-01-11T14:20:32+01:00", "epub, mobi"     , ""             , "2016-01-25T00:00:00+01:00"   , "Belfond"                        , ""                                   , "1.0"       , "epub, novel"                                                 , "Ecoute le chant du vent, suivi de Flipper, 1973"                                                                                                                                           , "Ecoute le chant du vent, suivi de Flipper, 1973"
"Murakami, Haruki"                                                                                         , "Haruki Murakami"                                                                                    , "2025-01-11T14:20:32+01:00", "epub, mobi"     , ""             , "2001-05-04T00:00:00+02:00"   , "Seuil"                          , ""                                   , "1.0"       , "epub, novel"                                                 , "Les chroniques de l'oiseau à ressort"                                                                                                                                                      , "chroniques de l'oiseau à ressort, Les"
"Chattam, Maxime"                                                                                          , "Maxime Chattam"                                                                                     , "2025-01-11T14:20:32+01:00", "epub, mobi"     , ""             , "2016-11-03T23:00:00+01:00"   , "Albin Michel"                   , "autre-monde"                        , "7.0"       , "epub, novel, thriller"                                       , "genèse"                                                                                                                                                                                    , "genèse"
"filliozat, isabelle"                                                                                      , "isabelle filliozat"                                                                                 , "2017-03-04T17:12:14+01:00", "pdf"            , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , ""                                   , "1.0"       , "pdf"                                                         , "Il n'y a pas de parent parfait"                                                                                                                                                            , "Il n'y a pas de parent parfait"
"rezaul karim, mahedi kaysar"                                                                              , "rezaul karim, mahedi kaysar"                                                                        , "2017-08-30T19:00:23+02:00", "azw3"           , ""             , "0101-01-01T00:09:21+00:09:21", "Packt Publishing"               , ""                                   , "1.0"       , "azw3"                                                        , "large scale machine learning with spark"                                                                                                                                                   , "large scale machine learning with spark"
"Chauhan, Chitij & Kumar, Dinesh"                                                                          , "Chitij Chauhan & Dinesh Kumar"                                                                      , "2025-01-11T14:20:32+01:00", "epub, pdf"      , ""             , "2017-03-01T00:00:00+01:00"   , "Packt Publishing"               , ""                                   , "1.0"       , "epub, programming"                                           , "PostgreSQL High Performance Cookbook"                                                                                                                                                      , "PostgreSQL High Performance Cookbook"
"Narkhede, Neha & Shapira, Gwen & Palino, Todd"                                                            , "Neha Narkhede & Gwen Shapira & Todd Palino"                                                         , "2025-01-11T14:20:32+01:00", "pdf"            , ""             , "2017-07-07T13:40:51+02:00"   , "O'Reilly Media"                 , ""                                   , "1.0"       , "pdf, programming"                                            , "Kafka: The Definitive Guide"                                                                                                                                                               , "Kafka: The Definitive Guide"
"kreps, jay"                                                                                               , "jay kreps"                                                                                          , "2025-01-11T14:20:32+01:00", "pdf"            , ""             , "2014-09-22T16:06:35+02:00"   , "O'Reilly Media"                 , "oreilly"                            , "0.0"       , "pdf, oreilly, tech, log"                                     , "I heart logs, 1st edition"                                                                                                                                                                 , "I heart logs, 1st edition"
"Pancol, Katherine"                                                                                        , "Katherine Pancol"                                                                                   , "2025-01-11T14:20:32+01:00", "epub, mobi"     , ""             , "2017-10-15T00:00:00+02:00"   , "Albin Michel"                   , ""                                   , "1.0"       , "epub, novel"                                                 , "Trois baisers"                                                                                                                                                                             , "Trois baisers"
"Bacon, Francis"                                                                                           , "Francis Bacon"                                                                                      , "2025-01-11T14:20:32+01:00", "epub"           , ""             , "1626-01-01T23:09:21+00:09:21", ""                               , ""                                   , "1.0"       , "epub, novel"                                                 , "The New Atlantis"                                                                                                                                                                          , "New Atlantis, The"
"Stone, Biz"                                                                                               , "Biz Stone"                                                                                          , "2025-01-11T14:20:32+01:00", "epub, mobi"     , ""             , "2015-04-14T00:00:00+02:00"   , "Grand Central Publishing"       , ""                                   , "1.0"       , "epub, biography"                                             , "Things a Little Bird Told Me"                                                                                                                                                              , "Things a Little Bird Told Me"
"Adams, Douglas"                                                                                           , "Douglas Adams"                                                                                      , "2025-01-11T14:20:32+01:00", "epub, mobi"     , ""             , "1987-05-01T00:00:00+02:00"   , "Simon & Schuster"               , ""                                   , "1.0"       , "epub, novel"                                                 , "Dirk Gently's Holistic Detective Agency"                                                                                                                                                   , "Dirk Gently's Holistic Detective Agency"
"Burns, Brendan"                                                                                           , "Brendan Burns"                                                                                      , "2025-01-11T14:20:32+01:00", "pdf"            , ""             , "2017-12-06T20:52:49+01:00"   , "O'Reilly Media"                 , "oreilly"                            , "0.0"       , "pdf, tech, programming"                                      , "Designing Distributed Systems"                                                                                                                                                             , "Designing Distributed Systems"
"Weir, Andy"                                                                                               , "Andy Weir"                                                                                          , "2025-01-11T14:20:32+01:00", "epub, mobi"     , ""             , "2017-11-14T01:00:00+01:00"   , "Penguin Random House LLC"       , ""                                   , "1.0"       , "epub, science fiction"                                       , "Artemis"                                                                                                                                                                                   , "Artemis"
"cixin, liu"                                                                                               , "Liu Cixin"                                                                                          , "2025-01-11T14:20:32+01:00", "epub, mobi"     , ""             , "2006-01-15T00:00:00+01:00"   , "Éditions Actes Sud"             , "Le problème à trois corps"          , "1.0"       , "epub, novel, science fiction"                                , "Le problème à trois corps, tome 1"                                                                                                                                                         , "problème à trois corps, tome 1, Le"
"japan times, the"                                                                                         , "the japan times"                                                                                    , "2018-05-13T18:06:54+02:00", "epub, pdf"      , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , "genki"                              , "1.0"       , "epub, japanese"                                              , "genki, textbook volume 1, 2nd edition"                                                                                                                                                     , "genki, textbook volume 1, 2nd edition"
"japan times, the"                                                                                         , "the japan times"                                                                                    , "2018-05-13T18:09:27+02:00", "epub, pdf"      , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , "genki"                              , "2.0"       , "epub, pdf, japanese"                                         , "genki, textbook volume 2, 2nd edition"                                                                                                                                                     , "genki, textbook volume 2, 2nd edition"
"japan times, the"                                                                                         , "the japan times"                                                                                    , "2018-05-13T18:11:35+02:00", "epub, pdf"      , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , "genki"                              , "3.0"       , "epub, pdf, japanese"                                         , "genki, workbook volume 1, 2nd edition"                                                                                                                                                     , "genki, workbook volume 1, 2nd edition"
"japan times, the"                                                                                         , "the japan times"                                                                                    , "2018-05-13T18:12:58+02:00", "epub, pdf"      , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , "genki"                              , "4.0"       , "epub, pdf, japanese"                                         , "genki, workbook volume 2, 2nd edition"                                                                                                                                                     , "genki, workbook volume 2, 2nd edition"
"japan times, the"                                                                                         , "the japan times"                                                                                    , "2018-05-13T18:15:33+02:00", "pdf"            , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , "genki"                              , "5.0"       , "pdf, japanese"                                               , "genki, answer key"                                                                                                                                                                         , "genki, answer key"
"Unknown"                                                                                                  , "Unknown"                                                                                            , "2018-05-13T18:44:29+02:00", "pdf"            , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , "shirokuma cafe"                     , "1.0"       , "pdf, japanese, manga"                                        , "shirokuma cafe, tome 1"                                                                                                                                                                    , "shirokuma cafe, tome 1"
"Unknown"                                                                                                  , "Unknown"                                                                                            , "2018-05-13T18:44:31+02:00", "pdf"            , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , "shirokuma cafe"                     , "2.0"       , "pdf, japanese, manga"                                        , "shirokuma cafe, tome 2"                                                                                                                                                                    , "shirokuma cafe, tome 2"
"Unknown"                                                                                                  , "Unknown"                                                                                            , "2018-05-13T18:44:33+02:00", "pdf"            , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , "shirokuma cafe"                     , "3.0"       , "pdf, japanese, manga"                                        , "shirokuma cafe, tome 3"                                                                                                                                                                    , "shirokuma cafe, tome 3"
"Unknown"                                                                                                  , "Unknown"                                                                                            , "2018-05-13T18:44:35+02:00", "pdf"            , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , "shirokuma cafe"                     , "4.0"       , "pdf, japanese, manga"                                        , "shirokuma cafe, tome 4"                                                                                                                                                                    , "shirokuma cafe, tome 4"
"Grangé, Jean-Christophe"                                                                                  , "Jean-Christophe Grangé"                                                                             , "2025-01-11T14:20:33+01:00", "epub, mobi"     , ""             , "2018-05-03T00:00:00+02:00"   , "Albin Michel"                   , ""                                   , "1.0"       , "epub, novel"                                                 , "La terre des morts"                                                                                                                                                                        , "terre des morts, La"
"murakami, haruki"                                                                                         , "Haruki Murakami"                                                                                    , "2018-05-30T22:19:23+02:00", "epub, mobi"     , ""             , "2017-03-02T00:00:00+01:00"   , "Place Des Editeurs"             , ""                                   , "1.0"       , "epub, novel"                                                 , "Des hommes sans femmes"                                                                                                                                                                    , "hommes sans femmes, Des"
"Murakami, Haruki"                                                                                         , "Haruki Murakami"                                                                                    , "2025-01-11T14:20:33+01:00", "epub, mobi"     , ""             , "1985-01-05T00:00:00+01:00"   , "Points"                         , ""                                   , "1.0"       , "epub, novel"                                                 , "La fin des temps"                                                                                                                                                                          , "fin des temps, La"
"Martin-Lugand, Agnès"                                                                                     , "Agnès Martin-Lugand"                                                                                , "2025-01-11T14:20:33+01:00", "epub, mobi"     , ""             , "2018-03-29T00:00:00+02:00"   , "Michel Lafon"                   , ""                                   , "1.0"       , "epub, novel"                                                 , "À la lumière du petit matin"                                                                                                                                                               , "À la lumière du petit matin"
"Valognes, Aurélie"                                                                                        , "Aurélie Valognes"                                                                                   , "2025-01-11T14:20:33+01:00", "epub, mobi"     , ""             , "2018-03-24T00:00:00+01:00"   , "Mazarine"                       , ""                                   , "1.0"       , "epub, novel"                                                 , "Au petit bonheur la chance"                                                                                                                                                                , "Au petit bonheur la chance"
"Toro, Guillermo Del"                                                                                      , "Guillermo Del Toro"                                                                                 , "2025-01-11T14:20:33+01:00", "epub, mobi"     , ""             , "2018-03-07T00:00:00+01:00"   , "Bragelonne"                     , ""                                   , "1.0"       , "fantasy, epub"                                               , "La forme de l'eau"                                                                                                                                                                         , "forme de l'eau, La"
"Giacometti, Éric & Ravenne, Jacques"                                                                      , "Éric Giacometti & Jacques Ravenne"                                                                  , "2025-01-11T14:20:33+01:00", "epub, mobi"     , ""             , "2018-04-04T02:00:00+02:00"   , "JC Lattès"                      , "Le cycle du soleil noir"            , "1.0"       , "epub, novel"                                                 , "Le triomphe des ténèbres"                                                                                                                                                                  , "triomphe des ténèbres, Le"
"Martin-Lugand, Agnès"                                                                                     , "Agnès Martin-Lugand"                                                                                , "2018-10-05T18:58:57+02:00", "epub, mobi"     , ""             , "2014-06-08T00:00:00+02:00"   , "Michel Lafon"                   , ""                                   , "1.0"       , "epub, novel"                                                 , "entre mes mains le bonheur se faufile"                                                                                                                                                     , "entre mes mains le bonheur se faufile"
"Martin-Lugand, Agnès"                                                                                     , "Agnès Martin-Lugand"                                                                                , "2018-10-05T19:55:54+02:00", "epub, mobi"     , ""             , "2017-03-15T00:00:00+01:00"   , "Michel Lafon"                   , ""                                   , "1.0"       , "epub, novel"                                                 , "j’ai toujours cette musique dans la tête"                                                                                                                                                  , "j’ai toujours cette musique dans la tête"
"Manotti, Dominique"                                                                                       , "Dominique Manotti"                                                                                  , "2025-01-11T14:20:33+01:00", "epub"           , ""             , "2018-03-20T00:00:00+01:00"   , "Les Arènes"                     , ""                                   , "1.0"       , "epub, novel"                                                 , "Racket"                                                                                                                                                                                    , "Racket"
"Augustin, Saint"                                                                                          , "Saint Augustin"                                                                                     , "2025-01-11T14:20:33+01:00", "epub, mobi"     , ""             , "1993-01-01T00:00:00+01:00"   , "Flammarion"                     , ""                                   , "1.0"       , "epub, philosophy"                                            , "Les confessions"                                                                                                                                                                           , "confessions, Les"
"Chattam, Maxime"                                                                                          , "Maxime Chattam"                                                                                     , "2025-01-11T14:20:33+01:00", "epub"           , ""             , "2018-10-24T00:00:00+02:00"   , "Albin Michel"                   , ""                                   , "1.0"       , "epub, novel, thriller"                                       , "Le signal"                                                                                                                                                                                 , "signal, Le"
"Stephenson, Neal"                                                                                         , "Neal Stephenson"                                                                                    , "2025-01-11T14:20:33+01:00", "epub, mobi"     , ""             , "2018-09-26T00:00:00+02:00"   , "Albin Michel"                   , "[anatèm]"                           , "1.0"       , "epub, science fiction"                                       , "[anatèm], tome 1"                                                                                                                                                                          , "[anatèm], tome 1"
