author_sort                                                                                                , authors                                                                                              , timestamp                  , formats          , isbn           , pubdate                       , publisher                        , series                               , series_index, tags                                                          , title                                                                                                                                                                                       , title_sort
"Planet, Lonely"                                                                                           , "Lonely Planet"                                                                                      , "2013-12-23T13:13:11+01:00", "epub"           , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , ""                                   , "1.0"       , ""                                                            , "Lonely Planet's Best In Travel 2011"                                                                                                                                                       , "Lonely Planet's Best In Travel 2011"
"Gemmell, David"                                                                                           , "David Gemmell"                                                                                      , "2025-01-11T14:20:25+01:00", "epub, mobi"     , ""             , "1990-01-01T23:21:24+01:00"   , "Bragelonne"                     , "le cycle drenaï"                    , "2.0"       , "epub, novel, fantasy"                                        , "le cycle drenaï, tome 9 - la quête des héros perdus"                                                                                                                                       , "cycle drenaï, tome 9 - la quête des héros perdus, le"
"Gemmell, David"                                                                                           , "David Gemmell"                                                                                      , "2025-01-11T14:20:25+01:00", "epub"           , ""             , "2000-01-01T22:18:07+01:00"   , "Bragelonne"                     , "le cycle drenaï"                    , "4.0"       , "epub, novel, fantasy"                                        , "le cycle drenaï, tome 3 - waylander III - le héros dans l'ombre"                                                                                                                           , "cycle drenaï, tome 3 - waylander III - le héros dans l'ombre, le"
"lovecraft, h. p."                                                                                         , "h. p. lovecraft"                                                                                    , "2025-01-11T14:20:25+01:00", "epub, mobi"     , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , ""                                   , "1.0"       , "epub"                                                        , "at the mountains of madness"                                                                                                                                                               , "at the mountains of madness"
"Rohmer, Sax"                                                                                              , "Sax Rohmer"                                                                                         , "2025-01-11T14:20:25+01:00", "epub"           , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , "Fu-Manchu"                          , "1.0"       , "epub"                                                        , "The Insidious Dr. Fu-Manchu"                                                                                                                                                               , "Insidious Dr. Fu-Manchu, The"
"Hanna, Heidi"                                                                                             , "Heidi Hanna"                                                                                        , "2013-12-23T13:15:25+01:00", "epub"           , ""             , "2010-01-21T00:00:00+01:00"   , "Wiley"                          , ""                                   , "1.0"       , ""                                                            , "The Sharp Solution: A Brain-Based Approach for Optimal Performance"                                                                                                                        , "Sharp Solution: A Brain-Based Approach for Optimal Performance, The"
"Gemmell, David"                                                                                           , "David Gemmell"                                                                                      , "2025-01-11T14:20:25+01:00", "epub, mobi"     , ""             , "1997-01-01T23:22:01+01:00"   , "Bragelonne"                     , "le cycle drenaï"                    , "9.0"       , "epub, novel, fantasy"                                        , "le cycle drenaï, tome 10 - les guerriers de l'hiver"                                                                                                                                       , "cycle drenaï, tome 10 - les guerriers de l'hiver, le"
"Gemmell, David"                                                                                           , "David Gemmell"                                                                                      , "2025-01-11T14:20:26+01:00", "epub, mobi"     , ""             , "2003-01-01T22:02:13+01:00"   , "Bragelonne"                     , "le cycle drenaï"                    , "5.0"       , "epub, novel, fantasy"                                        , "le cycle drenaï, tome 6 - loup blanc"                                                                                                                                                      , "cycle drenaï, tome 6 - loup blanc, le"
"Administrateur"                                                                                           , "Administrateur"                                                                                     , "2013-12-23T13:15:31+01:00", "epub"           , ""             , "2011-02-24T00:00:00+01:00"   , ""                               , ""                                   , "1.0"       , ""                                                            , "Les Aventures de Sherlock Holmes"                                                                                                                                                          , "Les Aventures de Sherlock Holmes"
"Date, C. J."                                                                                              , "C. J. Date"                                                                                         , "2025-01-11T14:20:26+01:00", "epub, pdf"      , ""             , "2013-05-21T00:00:00+02:00"   , "O’Reilly Media"                 , ""                                   , "1.0"       , "epub, pdf, programming"                                      , "Relational Theory for Computer Professionals"                                                                                                                                              , "Relational Theory for Computer Professionals"
"Allamaraju, Subbu"                                                                                        , "Subbu Allamaraju"                                                                                   , "2025-01-11T14:20:26+01:00", "pdf"            , ""             , "2010-03-01T00:00:00+01:00"   , "O'Reilly Media"                 , ""                                   , "1.0"       , "pdf, programming, api"                                       , "RESTful Web Services Cookbook, 1st edition"                                                                                                                                                , "RESTful Web Services Cookbook, 1st edition"
"Karl E. Wiegers"                                                                                          , "Karl E. Wiegers"                                                                                    , "2013-12-23T13:17:39+01:00", "epub"           , ""             , "2009-11-30T00:00:00+01:00"   , ""                               , ""                                   , "1.0"       , "COMPUTERS / Enterprise Applications / Collaboration Software", "Software Requirements, Second Edition"                                                                                                                                                     , "Software Requirements, Second Edition"
